fact_id,date_id,product_id,country_id,metric_type,value
1,601,5,1,consumption,4924.0
2,601,3,1,consumption,691.0
3,601,1,1,consumption,54.0
4,601,2,1,consumption,189.0
5,601,5,2,consumption,432.0
6,601,3,2,consumption,35.0
7,601,1,2,consumption,6.0
8,601,2,2,consumption,117.0
9,601,2,2,consumption,13.0
10,601,4,2,consumption,0.0
11,601,5,3,consumption,6536.0
12,601,3,3,consumption,143.0
13,601,1,3,consumption,436.0
14,601,2,3,consumption,2396.0
15,601,2,3,consumption,0.0
16,601,4,3,consumption,0.0
17,601,5,4,consumption,674.0
18,601,3,4,consumption,363.0
19,601,1,4,consumption,858.0
20,601,2,4,consumption,578.0
21,601,2,4,consumption,710.0
22,601,4,4,consumption,4.0
23,601,5,5,consumption,5.0
24,601,3,5,consumption,0.0
25,601,1,5,consumption,0.0
26,601,2,5,consumption,2.0
27,601,2,5,consumption,0.0
28,601,4,5,consumption,0.0
29,601,5,6,consumption,4476.0
30,601,3,6,consumption,475.0
31,601,1,6,consumption,469.0
32,601,2,6,consumption,1590.0
33,601,2,6,consumption,324.0
34,601,4,6,consumption,0.0
35,601,5,7,consumption,378.0
36,601,3,7,consumption,16.0
37,601,1,7,consumption,16.0
38,601,2,7,consumption,240.0
39,601,2,7,consumption,0.0
40,601,5,8,consumption,1717.0
41,601,3,8,consumption,373.0
42,601,1,8,consumption,100.0
43,601,2,8,consumption,1330.0
44,601,2,8,consumption,44.0
45,601,4,8,consumption,3.0
46,601,5,9,consumption,683.0
47,601,3,9,consumption,49.0
48,601,1,9,consumption,95.0
49,601,2,9,consumption,482.0
50,601,2,9,consumption,0.0
51,601,4,9,consumption,21.0
52,601,5,10,consumption,2155.0
53,601,3,10,consumption,28.0
54,601,1,10,consumption,86.0
55,601,2,10,consumption,667.0
56,601,4,10,consumption,0.0
57,601,5,11,consumption,14.0
58,601,3,11,consumption,12.0
59,601,1,11,consumption,1.0
60,601,2,11,consumption,7.0
61,601,2,11,consumption,1.0
62,601,4,11,consumption,0.0
63,601,5,13,consumption,2213.0
64,601,3,13,consumption,38375.0
65,601,1,13,consumption,89.0
66,601,2,13,consumption,6696.0
67,601,2,13,consumption,264.0
68,601,4,13,consumption,76.0
69,601,5,14,consumption,19.0
70,601,3,14,consumption,0.0
71,601,1,14,consumption,4.0
72,601,2,14,consumption,15.0
73,601,2,14,consumption,1.0
74,601,4,14,consumption,0.0
75,601,5,15,consumption,534.0
76,601,3,15,consumption,39.0
77,601,1,15,consumption,6.0
78,601,2,15,consumption,1755.0
79,601,2,15,consumption,0.0
80,601,4,15,consumption,5.0
81,601,5,16,consumption,1224.0
82,601,3,16,consumption,142.0
83,601,1,16,consumption,23.0
84,601,2,16,consumption,924.0
85,601,4,16,consumption,1.0
86,601,5,18,consumption,23.0
87,601,3,18,consumption,14.0
88,601,1,18,consumption,11.0
89,601,2,18,consumption,4.0
90,601,2,18,consumption,0.0
91,601,4,18,consumption,0.0
92,601,5,19,consumption,75.0
93,601,3,19,consumption,804.0
94,601,1,19,consumption,329.0
95,601,2,19,consumption,3.0
96,601,2,19,consumption,45.0
97,601,4,19,consumption,0.0
98,601,5,21,consumption,578.0
99,601,3,21,consumption,393.0
100,601,1,21,consumption,288.0
101,601,2,21,consumption,692.0
102,601,2,21,consumption,3.0
103,601,4,21,consumption,0.0
104,601,5,22,consumption,534.0
105,601,3,22,consumption,11.0
106,601,1,22,consumption,113.0
107,601,2,22,consumption,276.0
108,601,2,22,consumption,0.0
109,601,4,22,consumption,5.0
110,601,5,23,consumption,75.0
111,601,3,23,consumption,30.0
112,601,1,23,consumption,99.0
113,601,2,23,consumption,21.0
114,601,2,23,consumption,0.0
115,601,4,23,consumption,4.0
116,601,5,24,consumption,11781.0
117,601,3,24,consumption,9126.0
118,601,1,24,consumption,5303.0
119,601,2,24,consumption,3718.0
120,601,2,24,consumption,201.0
121,601,4,24,consumption,0.0
122,601,5,26,consumption,854.0
123,601,3,26,consumption,17.0
124,601,1,26,consumption,196.0
125,601,2,26,consumption,252.0
126,601,2,26,consumption,0.0
127,601,4,26,consumption,0.0
128,601,5,27,consumption,149.0
129,601,3,27,consumption,498.0
130,601,1,27,consumption,882.0
131,601,2,27,consumption,28.0
132,601,2,27,consumption,86.0
133,601,4,27,consumption,19.0
134,601,5,28,consumption,25.0
135,601,3,28,consumption,96.0
136,601,1,28,consumption,161.0
137,601,2,28,consumption,21.0
138,601,2,28,consumption,937.0
139,601,4,28,consumption,3.0
140,601,5,29,consumption,21.0
141,601,3,29,consumption,38.0
142,601,1,29,consumption,26.0
143,601,2,29,consumption,14.0
144,601,2,29,consumption,6.0
145,601,4,29,consumption,0.0
146,601,5,30,consumption,30.0
147,601,3,30,consumption,3443.0
148,601,1,30,consumption,8.0
149,601,2,30,consumption,1.0
150,601,2,30,consumption,73.0
151,601,4,30,consumption,54.0
152,601,5,31,consumption,419.0
153,601,3,31,consumption,703.0
154,601,1,31,consumption,921.0
155,601,2,31,consumption,121.0
156,601,2,31,consumption,256.0
157,601,4,31,consumption,12.0
158,601,5,32,consumption,3004.0
159,601,3,32,consumption,496.0
160,601,1,32,consumption,637.0
161,601,2,32,consumption,2937.0
162,601,2,32,consumption,51.0
163,601,4,32,consumption,29.0
164,601,5,33,consumption,37.0
165,601,3,33,consumption,14.0
166,601,1,33,consumption,76.0
167,601,2,33,consumption,0.0
168,601,4,33,consumption,0.0
169,601,5,34,consumption,119.0
